"observed_on","longitude","latitude","elevation_m","temperature_c","temperature_max_c","temperature_min_c","relative_humidity_percent","wind_speed_m_s","wind_direction_deg","precipitation_mm","solar_radiation_kwh_m2_day"
"2021-07-13","-121.38241","39.87194","1355.6","27.1","34.66","16.41","11.82","2.24","192","0","31.22"
"2021-07-14","-121.38241","39.87194","1355.6","25.64","32.56","19.09","17.54","2.09","203.5","0","31.9"
"2021-07-15","-121.38241","39.87194","1355.6","21.18","28.96","14.01","21.12","2.49","195.1","0","31.25"
"2021-07-16","-121.38241","39.87194","1355.6","20.84","29.42","12.85","15.94","2.14","195.2","0","31.7"
"2021-07-17","-121.38241","39.87194","1355.6","21.76","31.52","12.07","17.14","2.08","190.2","0","31.25"
"2021-07-18","-121.38241","39.87194","1355.6","23.37","33.38","13.27","16.62","2.22","173","0","30.02"
"2021-07-19","-121.38241","39.87194","1355.6","24.75","31.74","19.26","29.61","2.32","191.3","0.01","26.31"
"2021-07-20","-121.38241","39.87194","1355.6","23.97","31.36","17.16","24.83","2.63","186.9","0.01","30.19"
"2021-07-21","-121.38241","39.87194","1355.6","22.53","31.02","15.84","16.8","2.31","189.5","0","31.5"
"2021-07-22","-121.38241","39.87194","1355.6","23.31","31.87","16.83","12.09","2.01","194.6","0","31.05"
"2021-07-23","-121.38241","39.87194","1355.6","22.96","33.16","12.59","14","1.95","178.6","0","30.59"
"2021-07-24","-121.38241","39.87194","1355.6","25.05","33.36","17.29","14.18","1.54","262.2","0","24.79"
"2021-07-25","-121.38241","39.87194","1355.6","25.6","33.45","19.39","13.43","1.33","242.4","0","24.73"
"2021-07-26","-121.38241","39.87194","1355.6","24.79","31.01","19.49","14.26","1.52","205.1","0.03","19.39"
"2021-07-27","-121.38241","39.87194","1355.6","22.49","29.29","17.22","20.29","1.66","207.1","0.4","13.71"
"2021-07-28","-121.38241","39.87194","1355.6","22.99","34.07","13.94","35.3","2.14","285.2","0.01","27.16"
"2021-07-29","-121.38241","39.87194","1355.6","26.24","33.78","20.11","18.56","1.53","285.8","0.04","26.26"
"2021-07-30","-121.38241","39.87194","1355.6","25.95","31.47","21.36","24.22","1.05","286.6","0.06","23.7"
"2021-07-31","-121.38241","39.87194","1355.6","26.38","33.05","19.85","22.46","1.6","215.1","0.2","28.86"
"2021-08-01","-121.38241","39.87194","1355.6","25.82","33.41","19.69","17.28","2.07","202.9","0.04","28.69"
"2021-08-02","-121.38241","39.87194","1355.6","24.59","32.25","16.77","20.82","2.24","192.6","0","29.4"
"2021-08-03","-121.38241","39.87194","1355.6","25.53","34.19","18.27","12.06","1.91","200.5","0","29.11"
"2021-08-04","-121.38241","39.87194","1355.6","26.33","33.76","19.94","9.03","2.13","187.8","0","29.27"
"2021-08-05","-121.38241","39.87194","1355.6","20.79","30.82","12","12.02","2.8","194.6","0","29.71"
"2021-08-06","-121.38241","39.87194","1355.6","20.85","29.74","12.8","26.8","1.73","329.6","0","19.46"
"2021-08-07","-121.38241","39.87194","1355.6","22.15","30.79","15.23","15.52","1.82","355","0","15.85"
"2021-08-08","-121.38241","39.87194","1355.6","22.64","30.48","16.93","16.97","2.03","207.7","0","22.9"
"2021-08-09","-121.38241","39.87194","1355.6","22.76","32.26","12.38","14.39","1.77","166.5","0","27.4"
"2021-08-10","-121.38241","39.87194","1355.6","24.26","34.05","16.14","13.98","1.5","344.2","0","26.54"
"2021-08-11","-121.38241","39.87194","1355.6","25.94","35.19","19.12","15.31","1.33","323.3","0","23"
"2021-08-12","-121.38241","39.87194","1355.6","25.82","34.78","18.53","17.21","1.33","252","0","18.29"
"2021-08-13","-121.38241","39.87194","1355.6","25.48","34.07","18.99","24.67","1.22","249.5","0.12","20.36"
"2021-08-14","-121.38241","39.87194","1355.6","26.88","36.06","21.2","15.78","1.51","246.1","0.01","21.83"
"2021-08-15","-121.38241","39.87194","1355.6","28.5","37.99","19.79","16.14","1.62","298.5","0","16.99"
"2021-08-16","-121.38241","39.87194","1355.6","27.9","34.7","21.44","21.71","1.95","271","0","19.35"
"2021-08-17","-121.38241","39.87194","1355.6","22.07","32.12","14.46","32.99","1.78","223.9","0","22.04"
"2021-08-18","-121.38241","39.87194","1355.6","16.86","26","10.43","31.14","2.69","39.4","0","18.81"
"2021-08-19","-121.38241","39.87194","1355.6","17.8","27.16","11.24","35.92","2.33","42.1","0","20.36"
"2021-08-20","-121.38241","39.87194","1355.6","19.77","28.83","13.39","25.61","1.84","105.5","0","20.61"
"2021-08-21","-121.38241","39.87194","1355.6","16.85","24.56","11.53","38.73","2.07","206.9","0","22.5"
"2021-08-22","-121.38241","39.87194","1355.6","16.72","26.54","8.32","42.19","1.98","184.8","0","25.13"
"2021-08-23","-121.38241","39.87194","1355.6","18.14","26.33","11.07","24.74","2.14","192.3","0","25.99"
"2021-08-24","-121.38241","39.87194","1355.6","17.6","26.37","10.34","22.54","2.4","188.2","0","26.06"
"2021-08-25","-121.38241","39.87194","1355.6","17.78","26.99","10.72","25.8","2.48","195","0","26.16"
"2021-08-26","-121.38241","39.87194","1355.6","20.76","30.76","11.82","16.31","1.49","264.8","0","24.37"
"2021-08-27","-121.38241","39.87194","1355.6","20.97","31.9","12.95","26.91","1.89","30.3","0","20.21"
"2021-08-28","-121.38241","39.87194","1355.6","22.47","32.99","13.76","24.9","1.96","96.2","0","18.47"
"2021-08-29","-121.38241","39.87194","1355.6","24.51","32","17.67","21.33","1.71","193.3","0","21.86"
"2021-08-30","-121.38241","39.87194","1355.6","22.91","32.42","14.92","17.6","2.55","185.1","0","25.24"
"2021-08-31","-121.38241","39.87194","1355.6","21.51","29.77","13.87","13.76","2.43","200.3","0","25.53"
"2021-09-01","-121.38241","39.87194","1355.6","19.25","27.54","12.68","18.6","2.1","189.3","0","25.78"
"2021-09-02","-121.38241","39.87194","1355.6","17.37","26.85","11.5","26.42","1.92","200.9","0","25.28"
"2021-09-03","-121.38241","39.87194","1355.6","18.21","28.7","8.14","19.81","1.9","77.5","0","24.04"
"2021-09-04","-121.38241","39.87194","1355.6","21.5","31.13","14.14","15.8","1.54","259.1","0","22.55"
"2021-09-05","-121.38241","39.87194","1355.6","22.79","32.15","14.39","13.75","1.86","269.5","0","22.25"
"2021-09-06","-121.38241","39.87194","1355.6","23.77","32.81","16.08","11.79","1.67","193.3","0","22.57"
"2021-09-07","-121.38241","39.87194","1355.6","25.08","35.41","16.76","15.15","2.02","179.7","0","22.64"
"2021-09-08","-121.38241","39.87194","1355.6","26.05","34.65","18.64","20.75","1.92","223.2","0","22.83"
"2021-09-09","-121.38241","39.87194","1355.6","26.7","33.55","21.13","23.4","2.05","198.1","0.01","19.24"
"2021-09-10","-121.38241","39.87194","1355.6","21.06","30.06","13.93","47.01","2.22","195.8","4.52","20.85"
"2021-09-11","-121.38241","39.87194","1355.6","19.53","28.55","9.88","37.09","1.88","181.5","0","23.1"
"2021-09-12","-121.38241","39.87194","1355.6","20.46","28.49","13.52","26.47","1.9","216.3","0","22.91"
"2021-09-13","-121.38241","39.87194","1355.6","21.69","30.79","13.32","22.87","1.61","249.4","0","22.26"
"2021-09-14","-121.38241","39.87194","1355.6","21.06","32.66","11.83","24.74","2.13","67.1","0","21.32"
"2021-09-15","-121.38241","39.87194","1355.6","22.19","29.44","16.57","18.62","1.81","212.1","0","21.77"
"2021-09-16","-121.38241","39.87194","1355.6","19.33","28.6","12.58","20.35","1.74","187","0","22.8"
"2021-09-17","-121.38241","39.87194","1355.6","19.41","26.94","12.83","20.8","1.98","199.6","0","22.3"
"2021-09-18","-121.38241","39.87194","1355.6","14.18","23.31","9.22","50.2","3.17","194.9","1.52","17.6"
"2021-09-19","-121.38241","39.87194","1355.6","12.88","19.85","8.18","76.35","2.85","236.5","6.06","19.71"
"2021-09-20","-121.38241","39.87194","1355.6","14.38","25.97","8.22","43.19","3.45","59.1","0","21.9"
"2021-09-21","-121.38241","39.87194","1355.6","18.07","28.32","10.7","22.78","3.23","92.6","0","19.56"
"2021-09-22","-121.38241","39.87194","1355.6","19.76","26.89","13.73","27.64","2.02","199.4","0","19.07"
"2021-09-23","-121.38241","39.87194","1355.6","19.01","29.47","10.3","32.17","2.24","72.7","0","20.03"
"2021-09-24","-121.38241","39.87194","1355.6","21.1","30.98","14.25","33.07","2.74","88","0","19.63"
"2021-09-25","-121.38241","39.87194","1355.6","19.48","27.89","12.07","26.79","2.47","192.3","0","20.16"
"2021-09-26","-121.38241","39.87194","1355.6","17.64","25.53","10.48","28.87","2.45","193.9","0","20.81"
"2021-09-27","-121.38241","39.87194","1355.6","13.24","21.74","6.06","37.51","2.7","193.5","0.1","18.44"
"2021-09-28","-121.38241","39.87194","1355.6","10.35","19.3","2.62","68.09","2.52","321.3","5","20.39"
"2021-09-29","-121.38241","39.87194","1355.6","11.84","22.9","5.09","33.53","2.35","54.4","0","20.39"
