"timestamp_utc","observed_on","longitude","latitude","elevation_m","temperature_c","relative_humidity_percent","wind_speed_m_s","wind_direction_deg","wind_u_m_s","wind_v_m_s","precipitation_mm","solar_radiation_mj_m2_h","is_interpolated","source_dataset"
"2021-07-13T00:00:00Z","2021-07-13","-121.382","39.872","1355.6","34.66","4.17","3.05","221.9","-2.036889","-2.27015",,"1.9","False","NASA_POWER_hourly"
"2021-07-13T01:00:00Z","2021-07-13","-121.382","39.872","1355.6","32.95","4.62","2.55","223.3","-1.748837","-1.855821",,"1.18","False","NASA_POWER_hourly"
"2021-07-13T02:00:00Z","2021-07-13","-121.382","39.872","1355.6","29.32","6.5","1.5","219.3","-0.950071","-1.16076",,"0.48","False","NASA_POWER_hourly"
"2021-07-13T03:00:00Z","2021-07-13","-121.382","39.872","1355.6","23.59","11.35","1.68","201.4","-0.612993","-1.564174",,"0.03","False","NASA_POWER_hourly"
"2021-07-13T04:00:00Z","2021-07-13","-121.382","39.872","1355.6","23.01","11.85","1.43","174.8","0.129605","-1.424115",,"0","False","NASA_POWER_hourly"
"2021-07-13T05:00:00Z","2021-07-13","-121.382","39.872","1355.6","23.54","11.1","1.1","148.3","0.578019","-0.935892",,"0","False","NASA_POWER_hourly"
"2021-07-13T06:00:00Z","2021-07-13","-121.382","39.872","1355.6","24.25","9.58","0.58","114.4","0.528197","-0.239601",,"0","False","NASA_POWER_hourly"
"2021-07-13T07:00:00Z","2021-07-13","-121.382","39.872","1355.6","23.95","9.05","0.55","43.5","0.378595","0.398956",,"0","False","NASA_POWER_hourly"
"2021-07-13T08:00:00Z","2021-07-13","-121.382","39.872","1355.6","22.88","9.6","1.07","36.2","0.631948","0.863448",,"0","False","NASA_POWER_hourly"
"2021-07-13T09:00:00Z","2021-07-13","-121.382","39.872","1355.6","21.4","11.65","1.73","40.3","1.118946","1.319416",,"0","False","NASA_POWER_hourly"
"2021-07-13T10:00:00Z","2021-07-13","-121.382","39.872","1355.6","19.3","16.1","2.24","49","1.690549","1.469572",,"0","False","NASA_POWER_hourly"
"2021-07-13T11:00:00Z","2021-07-13","-121.382","39.872","1355.6","17.65","21.83","2.25","57.5","1.897631","1.208924",,"0","False","NASA_POWER_hourly"
"2021-07-13T12:00:00Z","2021-07-13","-121.382","39.872","1355.6","16.41","27.62","2.14","61.9","1.887751","1.007965",,"0","False","NASA_POWER_hourly"
"2021-07-13T13:00:00Z","2021-07-13","-121.382","39.872","1355.6","17.71","28.65","2.01","69.3","1.880243","0.710484",,"0.22","False","NASA_POWER_hourly"
"2021-07-13T14:00:00Z","2021-07-13","-121.382","39.872","1355.6","22.68","22.67","1.75","76.8","1.703763","0.399614",,"0.86","False","NASA_POWER_hourly"
"2021-07-13T15:00:00Z","2021-07-13","-121.382","39.872","1355.6","27.09","17.51","1.01","110.2","0.947878","-0.348751",,"1.6","False","NASA_POWER_hourly"
"2021-07-13T16:00:00Z","2021-07-13","-121.382","39.872","1355.6","30.89","12.26","1.36","187.2","-0.170453","-1.349276",,"2.3","False","NASA_POWER_hourly"
"2021-07-13T17:00:00Z","2021-07-13","-121.382","39.872","1355.6","33.24","8.57","2.49","208.5","-1.188125","-2.188255",,"2.89","False","NASA_POWER_hourly"
"2021-07-13T18:00:00Z","2021-07-13","-121.382","39.872","1355.6","34.2","6.86","3.43","213.1","-1.87313","-2.873375",,"3.32","False","NASA_POWER_hourly"
"2021-07-13T19:00:00Z","2021-07-13","-121.382","39.872","1355.6","34.4","6.2","3.94","212.7","-2.128547","-3.315552",,"3.59","False","NASA_POWER_hourly"
"2021-07-13T20:00:00Z","2021-07-13","-121.382","39.872","1355.6","34.5","5.81","4.11","211.2","-2.129091","-3.515547",,"3.64","False","NASA_POWER_hourly"
