latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.4087,-121.30509,309.82,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,293.14,0.68,N,0
39.44767,-121.9874,302.41,0.43,0.38,2021-08-17,1014,N,VIIRS,n,2,291.63,1.03,N,0
40.05089,-121.11442,313.16,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,288.41,1.31,N,0
40.05189,-121.11961,302.28,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,290.48,1.31,N,0
40.05453,-121.11394,319.22,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,287.17,1.77,N,0
40.08394,-121.09184,304.7,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,289.8,1.88,N,0
40.0849,-121.09681,324.51,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,290.52,1.88,N,0
40.08588,-121.10191,303.41,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,290.16,1.72,N,0
40.08744,-121.09058,328.85,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,292,2.37,N,0
40.08838,-121.09547,323.69,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,293.71,2.37,N,0
40.08933,-121.10044,350.49,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,298.22,7.05,N,0
40.08998,-121.08434,316.46,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,289.83,1.96,N,0
40.09031,-121.1055,346.8,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,294.67,7.05,N,0
40.09093,-121.08928,310.57,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,291.5,2.37,N,0
40.09188,-121.0942,313.96,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,291.7,2.37,N,0
40.09282,-121.09914,305.57,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,291.56,7.05,N,0
40.09376,-121.10401,335.49,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,294.64,7.05,N,0
40.0944,-121.08789,302.42,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,290.85,1.19,N,0
40.0947,-121.10891,306.51,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,291.09,3.51,N,0
40.09632,-121.09785,302.81,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,289.91,1.4,N,0
40.09724,-121.10265,315.21,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,292.32,1.4,N,0
40.10017,-121.11793,304.03,0.46,0.39,2021-08-17,1014,N,VIIRS,n,2,290.95,0.65,N,0
40.10118,-121.12323,308.12,0.45,0.39,2021-08-17,1014,N,VIIRS,n,2,290.61,0.65,N,0
40.10322,-121.13388,301.01,0.45,0.39,2021-08-17,1014,N,VIIRS,n,2,291,0.97,N,0
40.11597,-120.74699,314.89,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.04,2.6,N,0
40.11695,-120.75202,325.64,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.35,2.6,N,0
40.11789,-120.75684,343.02,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,295.27,3.15,N,0
40.11852,-120.74065,300.57,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,288.39,0.75,N,0
40.11881,-120.76153,324.83,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,294.23,3.15,N,0
40.11954,-120.74587,327.81,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,295.7,2.6,N,0
40.11975,-120.76637,323.81,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,295.13,4.39,N,0
40.12052,-120.7509,316.98,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.47,2.6,N,0
40.12074,-120.77138,348.26,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,299.29,4.39,N,0
40.12147,-120.75574,307.53,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.42,3.15,N,0
40.12175,-120.77657,308.81,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.15,5.77,N,0
40.1221,-120.7396,319.89,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.94,3.52,N,0
40.12239,-120.76039,317.11,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,294.46,3.15,N,0
40.12312,-120.7448,306.19,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.79,1.08,N,0
40.12334,-120.76534,321.42,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,295.9,4.39,N,0
40.12409,-120.74978,310.51,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,289.58,1.08,N,0
40.12437,-120.7706,305.69,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.62,4.39,N,0
40.1247,-120.7335,341.01,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.73,3.52,N,0
40.12503,-120.75458,312.57,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.37,1.24,N,0
40.12572,-120.73875,309.8,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.45,3.52,N,0
40.12597,-120.75938,307.88,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.7,1.24,N,0
40.12625,-120.72199,313.51,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,287.85,5.64,N,0
40.12672,-120.74383,306.37,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,289.44,1.08,N,0
40.12696,-120.76445,310.36,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.13,1.16,N,0
40.12731,-120.72745,347.06,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.21,5.64,N,0
40.12767,-120.74869,307.58,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.32,1.08,N,0
40.12835,-120.73276,319.93,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.35,2.37,N,0
40.12861,-120.75348,309.13,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.71,1.24,N,0
40.12879,-120.71558,319.67,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.45,2.88,N,0
40.12935,-120.73791,315.85,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.75,2.37,N,0
40.12958,-120.75845,307.97,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.32,1.24,N,0
40.1299,-120.72127,355.51,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,301.47,5.64,N,0
40.13032,-120.74288,312.14,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292,1.51,N,0
40.1306,-120.7637,302.04,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.35,1.16,N,0
40.13096,-120.72672,328.63,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,296.68,5.64,N,0
40.13128,-120.74773,314.81,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.68,1.51,N,0
40.13198,-120.73198,317.37,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.59,2.37,N,0
40.13223,-120.75259,314.21,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.49,1.27,N,0
40.13242,-120.71477,333.28,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,294.14,2.31,N,0
40.13297,-120.73701,311.67,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.92,2.37,N,0
40.13322,-120.75773,304.22,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.6,1.27,N,0
40.13353,-120.72047,305.13,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.08,1.09,N,0
40.13392,-120.7419,309.67,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.79,1.51,N,0
40.1346,-120.72594,303.03,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.78,1.09,N,0
40.13488,-120.74677,309.98,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.79,1.51,N,0
40.13494,-120.70823,303.9,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,289.15,2.31,N,0
40.13585,-120.7518,304.59,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.32,1.27,N,0
40.13605,-120.71392,311.84,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.58,2.31,N,0
40.13715,-120.7196,311.47,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.52,1.09,N,0
40.13743,-120.70152,340.51,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.3,20.56,N,0
40.13822,-120.7251,299.33,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,287.98,1.09,N,0
40.13854,-120.70724,338.02,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,296.51,3.93,N,0
40.13895,-120.76769,300.64,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,289.98,1.71,N,0
40.13964,-120.71292,306.37,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,290.23,3.93,N,0
40.13984,-120.69439,331.78,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.36,20.56,N,0
40.14075,-120.71862,325.63,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,293.43,2.43,N,0
40.14096,-120.70016,367,0.47,0.4,2021-08-17,1014,N,VIIRS,h,2,312.87,20.56,N,0
40.14156,-120.76163,316.11,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,292.45,1.73,N,0
40.14182,-120.7241,321.05,0.47,0.4,2021-08-17,1014,N,VIIRS,n,2,291.98,2.43,N,0
