latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.82211,-114.25708,311.95,0.36,0.57,2025-06-19,847,N,VIIRS,n,2,291.06,1.35,N,2
40.82459,-114.25794,299.99,0.36,0.57,2025-06-19,847,N,VIIRS,n,2,288.98,0.65,N,2
36.35862,-114.91304,316.48,0.35,0.57,2025-06-19,848,N,VIIRS,n,2,298.42,3.12,N,2
34.60538,-117.34025,303.71,0.47,0.64,2025-06-19,849,N,VIIRS,n,2,292.59,0.87,N,2
34.60788,-117.33616,309.85,0.47,0.64,2025-06-19,849,N,VIIRS,n,2,293.83,1.46,N,2
32.34978,-116.59271,310.98,0.4,0.6,2025-06-19,850,N,VIIRS,n,2,289.58,1.16,N,0
32.3501,-116.59737,302.76,0.4,0.6,2025-06-19,850,N,VIIRS,n,2,289.4,1.41,N,0
32.3519,-116.39876,304.06,0.39,0.6,2025-06-19,850,N,VIIRS,n,2,292.07,1.38,N,0
32.35292,-116.39481,306.74,0.39,0.59,2025-06-19,850,N,VIIRS,n,2,291.76,0.89,N,0
32.36403,-116.32764,299.63,0.39,0.59,2025-06-19,850,N,VIIRS,n,2,289.31,1.52,N,0
32.36434,-116.33238,329.13,0.39,0.59,2025-06-19,850,N,VIIRS,n,2,291.9,1.52,N,0
32.36495,-116.32896,322.47,0.39,0.59,2025-06-19,850,N,VIIRS,n,2,290.92,2.12,N,0
32.3653,-116.33375,306.13,0.39,0.59,2025-06-19,850,N,VIIRS,n,2,290.19,2.84,N,0
32.39807,-114.76691,347.91,0.63,0.54,2025-06-19,850,N,VIIRS,n,2,296.48,9.37,N,2
32.50864,-116.76943,301.9,0.41,0.61,2025-06-19,850,N,VIIRS,n,2,288.38,0.76,N,2
32.52796,-115.01149,306.25,0.33,0.55,2025-06-19,850,N,VIIRS,n,2,292.48,0.93,N,0
32.52824,-115.01505,326.99,0.33,0.55,2025-06-19,850,N,VIIRS,n,2,293.88,0.93,N,0
32.53542,-114.97494,328.16,0.32,0.55,2025-06-19,850,N,VIIRS,n,2,293.07,1.84,N,0
41.45853,-115.91396,300.02,0.34,0.56,2025-06-19,1027,N,VIIRS,n,2,280.16,0.25,N,0
40.73723,-122.32239,303.67,0.52,0.42,2025-06-19,1028,N,VIIRS,n,2,293.27,0.77,N,2
40.82067,-114.25678,310.26,0.42,0.61,2025-06-19,1028,N,VIIRS,n,2,289.54,1.67,N,2
40.82212,-114.25414,303.64,0.42,0.61,2025-06-19,1028,N,VIIRS,n,2,288.52,1.2,N,2
40.82381,-114.25991,301.98,0.42,0.61,2025-06-19,1028,N,VIIRS,n,2,288.24,1.2,N,2
34.60611,-117.33701,323.08,0.43,0.62,2025-06-19,1029,N,VIIRS,n,2,294.32,2.41,N,2
34.61008,-117.33747,315.53,0.43,0.62,2025-06-19,1029,N,VIIRS,n,2,293.32,2.6,N,2
34.62142,-117.09996,309.9,0.44,0.63,2025-06-19,1029,N,VIIRS,n,2,294.8,1.75,N,2
35.12131,-118.36713,297.47,0.37,0.58,2025-06-19,1029,N,VIIRS,n,2,286.24,0.69,N,0
36.54855,-121.39387,301.53,0.47,0.48,2025-06-19,1029,N,VIIRS,n,2,284.48,0.87,N,0
37.18454,-121.68005,296.65,0.44,0.46,2025-06-19,1029,N,VIIRS,n,2,286.62,0.64,N,2
37.45268,-121.93085,296.67,0.42,0.45,2025-06-19,1029,N,VIIRS,n,2,286.21,0.54,N,2
37.88478,-121.18536,299.1,0.45,0.47,2025-06-19,1029,N,VIIRS,n,2,288.39,0.56,N,2
37.95056,-122.39874,300.85,0.39,0.44,2025-06-19,1029,N,VIIRS,n,2,290.11,0.66,N,2
38.01583,-122.11288,303.57,0.4,0.44,2025-06-19,1029,N,VIIRS,n,2,292.9,1.42,N,2
38.02983,-122.09818,296.99,0.4,0.44,2025-06-19,1029,N,VIIRS,n,2,286.97,0.14,N,2
38.10128,-121.08223,306.37,0.45,0.47,2025-06-19,1029,N,VIIRS,n,2,287.2,1.19,N,0
38.10235,-121.08055,309.02,0.45,0.47,2025-06-19,1029,N,VIIRS,n,2,287.18,1.22,N,0
39.00475,-122.13943,302.18,0.38,0.43,2025-06-19,1029,N,VIIRS,n,2,290.78,0.4,N,0
39.04931,-122.03333,311.4,0.39,0.44,2025-06-19,1029,N,VIIRS,n,2,289.92,1.4,N,0
39.05323,-122.03191,337.08,0.39,0.44,2025-06-19,1029,N,VIIRS,n,2,290.69,3.2,N,0
32.34991,-116.39793,306.32,0.55,0.68,2025-06-19,1030,N,VIIRS,n,2,290.64,1.8,N,0
32.35124,-116.40272,302.06,0.55,0.68,2025-06-19,1030,N,VIIRS,n,2,290.14,1.8,N,0
32.35312,-116.39625,308.37,0.55,0.68,2025-06-19,1030,N,VIIRS,n,2,291.75,2.77,N,0
32.35448,-116.40102,304.4,0.55,0.68,2025-06-19,1030,N,VIIRS,n,2,289.9,2.16,N,0
32.36135,-116.32973,314.45,0.56,0.68,2025-06-19,1030,N,VIIRS,n,2,289.66,2.78,N,0
32.36455,-116.3289,311.74,0.56,0.69,2025-06-19,1030,N,VIIRS,n,2,290.38,2.41,N,0
34.08007,-117.50084,306.53,0.43,0.62,2025-06-19,1030,N,VIIRS,n,2,291.65,0.83,N,2
34.28919,-118.80067,298.22,0.36,0.58,2025-06-19,1030,N,VIIRS,n,2,287.82,0.51,N,2
34.29015,-118.80442,298.1,0.36,0.58,2025-06-19,1030,N,VIIRS,n,2,287.12,0.51,N,2
34.32071,-118.51099,299.54,0.38,0.59,2025-06-19,1030,N,VIIRS,n,2,288.52,0.31,N,2
34.33447,-118.51991,303.22,0.38,0.59,2025-06-19,1030,N,VIIRS,n,2,288.75,0.44,N,2
34.43118,-118.64324,300.55,0.37,0.58,2025-06-19,1030,N,VIIRS,n,2,288.49,0.59,N,2
32.33575,-115.10185,352.01,0.59,0.53,2025-06-19,2008,N,VIIRS,l,2,325.83,22.85,D,0
32.33667,-115.10677,355.09,0.59,0.53,2025-06-19,2008,N,VIIRS,n,2,323.92,25.61,D,0
32.35295,-116.39848,367,0.35,0.57,2025-06-19,2008,N,VIIRS,h,2,320.19,15.96,D,0
32.354,-116.39414,349.94,0.35,0.57,2025-06-19,2008,N,VIIRS,n,2,318.25,30.82,D,0
32.35804,-116.40017,367,0.35,0.57,2025-06-19,2008,N,VIIRS,l,2,325.5,15.96,D,0
32.35879,-116.32884,354.49,0.34,0.56,2025-06-19,2008,N,VIIRS,l,2,330.65,25.17,D,0
32.35909,-116.39577,354.04,0.35,0.57,2025-06-19,2008,N,VIIRS,n,2,325.22,30.82,D,0
32.35973,-116.32491,367,0.34,0.56,2025-06-19,2008,N,VIIRS,l,2,337.81,25.17,D,0
